,Thana,District,Accident_Severity,Month,Year,Time,Junction_Type,Traffic_Control,Collision_Type,Movement,Divider,Weather,Light,Road_Geometry,Surface_Condition,Surface_Type,Surface_Quality,Road_Class,Road_Feature,Location_Type,X,Y,Road_No,Vehicle_Type,Vehicle_Manoeuvre,Vehicle_Loading,Vehicle_Defect,Driver_Age,Alcohol,Seat_Belt
0,022,42,Fatal,January,2015,3,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Overtaking,Legal,None,40,Not Suspected,No
1,014,42,Fatal,January,2015,2,No Junction,Police Control,Overturned vehicle,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,304479,074286,0003,Minibus,Going Ahead,Legal,None,40,Not Suspected,No
2,014,42,Fatal,January,2015,1,No Junction,Police Control,Hit Pedestrian,2-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,National,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Suspected,No
3,034,42,Fatal,January,2015,1,No Junction,Police Control,Hit Object off Road,1-way Street,1-way Street,Fair,Night(lit),Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,303871,073154,   ?,Heavy Truck,Going Ahead,Legal,None,45,Not Suspected,No
4,034,42,Fatal,January,2015,3,No Junction,No Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Pick Up,Going Ahead,Legal,None,30,Suspected,No
5,012,42,Fatal,January,2015,2,Cross Road,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,35,Not Suspected,No
6,012,42,Fatal,January,2015,3,No Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Truck,Going Ahead,Legal,None,40,Not Suspected,No
7,041,42,Fatal,January,2015,4,T Junction,Police Control,Hit Pedestrian,1-way Street,1-way Street,Fair,Dawn,Straight+Flat,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Heavy Truck,Other,Legal,None,40,Not Suspected,No
8,025,42,Fatal,January,2015,2,No Junction,No Control,Hit Pedestrian,2-way Street,2-way Street,Fog,Dawn,Straight+Flat,Dry,Sealed,Good,National,Speed Breakers,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,30,Not Suspected,No
9,024,42,Fatal,January,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Earth,Good,City,None,Urban Area,     ?,     ?,   ?,Truck,Going Ahead,Legal,None,20,Not Suspected,No
10,033,42,Grievios,January,2015,2,No Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Daylight,Straight+Flat,Dry,Sealed,Good,Regional,None,Urban Area,304730,072310,   ?,Bus,Going Ahead,Legal,None,35,Not Suspected,No
11,033,42,Fatal,January,2015,4,T Junction,Police Control,Hit Pedestrian,2-way Street,2-way Street,Fair,Dawn,Curve Only,Dry,Sealed,Good,City,None,Urban Area,     ?,     ?,   ?,Bus,Going Ahead,Legal,None,40,Not Suspected,No
